ENSEMBL_ID,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
ENSG00000258818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.3844960794148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.56699218480577,1.0
ENSG00000214274,1.0,1.0,1.0,15.2280369714483,1.0,1.0,68.3975948539201,1.0,44.830966639334,70.8864732101904,64.3201086486093,66.363526515453,1.0,1.0,1.0,1.0,1.0,26.4524494441383,60.4509814611277,51.8736868779949,1.0,33.7803594852657,74.1843711703082,1.0,1.0,1.0,53.7699976919691,47.6827850383726,14.633446767847,1.0,18.4192581872408,64.1775747206232
ENSG00000165804,1.0,1.0,1.0,14.5919735565862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.2683482326046,1.0,1.0,10.5559701892204,1.0,1.0,1.0,1.0,26.6077573746797,1.0,1.0,1.0,23.8735299830824,1.0,1.0,1.0,1.0,1.0,1.0,14.0326246376951,22.78574792408
ENSG00000129472,84.5144742104752,1.0,66.9572345840021,43.5749762339549,57.7305012032039,42.9306405622321,1.0,57.7568100878235,1.0,1.0,1.0,28.5244613997917,1.0,28.5745818638212,1.0,1.0,1.0,1.0,76.2831241462257,64.4224231138903,1.0,1.0,66.8849272584987,29.3004301616003,40.9302741064455,1.0,1.0,45.9941207247548,1.0,48.0217030281474,13.8548520718523,23.2394831227095
ENSG00000165821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0169105743979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.83625232887843,1.0
ENSG00000100439,1.0,1.0,1.0,16.2475631594776,1.0,1.0,1.0,61.4918527485043,1.0,1.0,1.0,12.1940107874689,1.0,25.6511315203725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.7602984248961,25.5750960260495,1.0,1.0,1.0,1.0,1.0,1.0,91.6113753123248,26.0741552605579
ENSG00000155465,1.0,1.0,1.0,16.556430789172,1.0,1.0,71.5704922838142,41.8276793117558,45.5553742253542,59.1709234149177,1.0,12.729547567127,1.0,1.0,1.0,1.0,1.0,28.1762974071184,1.0,17.2569830712058,1.0,1.0,38.4912766563473,1.0,1.0,1.0,10.210550098658,1.0,14.7032582864548,1.0,148.833746311427,149.775722663067
ENSG00000092036,1.0,1.0,1.0,12.4735937660077,1.0,32.5774860433068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.5598449462265,1.0,1.0,28.8043401290477,1.0,1.0,66.6022716909919,1.0,1.0,1.0,34.7305192056112,1.0,1.0,1.0,53.4951609846987,60.1943180074621,29.6613764141813,11.1701994631246,60.1841911033907
ENSG00000129473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.162331149548,1.0
ENSG00000100918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.3588665988789,17.465590779981,1.0,1.0,1.0,1.0,1.0,29.1091297233546,8.78452963239159,56.8910786306169
