Hugo	Patient-01	Patient-02
APOB	3.0	97.0
APOC1P1	5.0	0.0
APOC1	1696.0	1398.0
APOC2	70.0	205.0
APOC3	0.0	32.0
APOC4	1.0	1.0
APOD	1211.0	373.0
APOE	21521.0	2817.0
APOF	0.0	1.0
APOH	0.0	127.0
APOL1	13288.0	26331.0
APOL2	3295.0	2764.0
APOL3	1477.0	897.0
APOL4	777.0	2040.0
APOL5	0.0	0.0
APOL6	1952.0	2970.0
APOLD1	531.0	455.62
APOM	36.0	165.0
APOOL	79.0	493.0
APOO	316.0	1534.0
APPBP2	878.0	2863.0
APPL1	600.0	2008.0
APPL2	679.0	2186.0
APP	43349.0	42083.0
APRT	5906.0	7475.0
APTX	773.0	3156.0
AQP10	88.0	21.0
AQP11	18.0	41.0
AQP12A	0.0	0.0
AQP12B	0.0	18.0
AQP1	3755.62	2154.0
AQP2	0.0	0.0
AQP3	5414.0	1433.0
AQP4	1.0	117.0
AQP5	10.0	3.0
AQP6	4.0	7.0
AQP7P1	12.0	0.0
AQP7P3	3.0	0.0
AQP7	3.0	2.0
AQP8	3.0	2.0
AQP9	61.0	634.0
AQPEP	7.0	8.0
AQR	673.0	2181.0
ARAF	2269.0	2979.0
ARAP1	6723.95	1447.98
ARAP2	443.0	527.0
ARAP3	1394.0	513.0
ARCN1	5811.0	8505.0
ARC	97.0	62.0
AREG	1805.0	36112.0
ARF1	18199.0	36454.0
ARF3	9358.0	6482.0
ARF4	7103.0	34473.0
ARF5	10125.75	15248.72
ARF6	3374.0	9428.0
ARFGAP1	5440.0	3231.0
ARFGAP2	4226.0	2493.0
ARFGAP3	1361.0	8844.0
ARFGEF1	1783.0	3140.48
ARFGEF2	1019.0	2355.0
ARFIP1	883.0	3993.0
ARFIP2	2563.0	3623.0
ARFRP1	2823.0	1349.0
ARG1	9.0	10.0
ARG2	193.81	3788.62
ARGFXP2	1.0	0.0
ARGFX	0.0	0.0
ARGLU1	1923.0	2928.0
ARHGAP10	787.0	1348.0
ARHGAP11A	529.0	2322.0
ARHGAP11B	8.16	73.0
ARHGAP12	528.0	1152.0
ARHGAP15	101.0	90.0
ARHGAP17	1788.0	1243.0
ARHGAP18	403.0	2051.0
ARHGAP19	308.0	468.0
ARHGAP1	7633.0	3776.0
ARHGAP20	32.0	42.0
ARHGAP21	2273.0	3973.0
ARHGAP22	533.0	63.0
ARHGAP23	4365.0	1255.0
ARHGAP24	275.0	346.0
ARHGAP25	538.0	419.0
ARHGAP26	194.0	295.0
ARHGAP27	1247.0	670.0
ARHGAP28	214.0	265.0
ARHGAP29	1041.0	1385.0
ARHGAP30	882.0	201.0
ARHGAP31	656.0	908.0
ARHGAP32	1012.0	679.0
ARHGAP33	358.0	49.0
ARHGAP36	5.0	16.0
ARHGAP39	840.0	77.0
ARHGAP42	184.0	207.0
ARHGAP4	1251.0	1288.0
ARHGAP5	1092.0	3904.0
ARHGAP6	36.0	32.0
ARHGAP8	298.39	1156.28
ARHGAP9	382.0	237.0
ARHGDIA	22601.0	17302.0
ARHGDIB	5251.0	4398.0
ARHGDIG	12.0	15.56
ARHGEF10L	1089.0	348.0
ARHGEF10	742.0	477.0
