,Cancer,predicted_label,ITH,MCE,Scent,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
TCGA-VS-A8QC-01,CESC,ECSC,1.58840506072916,0.872082196052451,0.96694792880532,0.0,0.0,0.0,0.0194324627004987,0.0,0.0159979226211825,0.272813013998185,0.0,0.0,0.0,0.0,0.0361132490811623,0.0,0.0,0.0109502013013006,0.0,0.0904243134694729,0.0162953356139543,0.0188850307332408,0.0528552667262786,0.0,0.0,0.0099311400564496,0.0,0.110916570403419,0.0083880421616179,0.0,0.0458504614464991,0.0,0.145877688835993,0.0487562735573421,0.0965130272934031
TCGA-VS-A8QF-01,CESC,iPCSC,1.6280252683888,0.870575802538739,0.966539849172303,0.0,0.0,0.0,0.008231449762166,0.0,0.0,0.377699101559733,0.0,0.0,0.0,0.0,0.0007003720415268,0.0,0.0,0.0242187404881366,0.0,0.0645938043876721,0.0311225424763566,0.0097700824254993,0.0525441398348481,0.0,0.0,0.0178668986488875,0.0,0.105232697869023,0.029347799182755,0.0,0.0500498203314594,0.0,0.108980424980591,0.0491100324997417,0.0705320935116037
TCGA-VS-A8QH-01,CESC,ECSC,1.79435851761364,0.868859645950752,0.966080746239765,0.0,0.0,0.0,0.0044877415318601,0.0,0.0,0.2617087999567,0.0,0.058148715814006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192784580985204,0.0461614803304744,0.011225611501372,0.0,0.0092335242720806,0.0277256754268631,0.0,0.026028785767337,0.0066677362500483,0.0080918228849253,0.0974687047539811,0.0,0.117703297709422,0.032296160259638,0.100267362556088
TCGA-VS-A8QM-01,CESC,UCSC,1.40350994761424,0.866729062942846,0.964750317431139,0.0,0.0,0.0365877133843918,0.0062843089539378,0.0,0.021783007488979,0.248067110634817,0.0,0.0,0.0,0.0,0.0372194453842181,0.0,0.0018423865253409,0.0139414075265547,0.0,0.0465008001043188,0.0963872171174386,0.0095833290239911,0.0578747955961063,0.0,0.0,0.0325888923463895,0.0,0.151077472110367,0.0,0.0,0.019411546719128,0.0,0.109339515512823,0.0843300471576178,0.0271810044135806
TCGA-VS-A94W-01,CESC,iPCSC,1.55604944404704,0.868743821300256,0.965749843095223,0.0,0.0,0.02439328370476,0.0,0.0,0.0,0.353152157481402,0.0,0.0,0.0,0.0,0.0467343593314626,0.0,0.0,0.0073421554563625,0.0,0.0375962322900463,0.0103079706971213,0.0,0.0455323155261185,0.0,0.0048499010416458,0.0332122142603098,0.0,0.0873391236087566,0.040112591223857,0.0,0.0160524264074289,0.0,0.14291739803244,0.0585908839066875,0.0918669870316013
TCGA-VS-A94X-01,CESC,ECSC,1.60742449823878,0.872189513788036,0.966699332499255,0.0,0.0,0.0,0.0,0.0,0.0,0.323945099022949,0.0,0.0,0.0,0.0,0.058627529895023,0.0,0.0,0.0190174165259156,0.0,0.0245553135492345,0.0556757526192379,0.0315391292941981,0.0279716864984373,0.0,0.0,0.0224977968220643,0.0,0.0927659730498823,0.0040715335274258,0.0,0.0282242194164038,0.0,0.14855856112617,0.0615588041386579,0.1009911845144
TCGA-VS-A94Y-01,CESC,iPCSC,1.6459815327107,0.868900615881764,0.964639140202479,0.0,0.0,0.0,0.0108291397788903,0.0,0.0006549803467333,0.120278540134876,0.0,0.0831090909848356,0.0,0.0,0.0813857197443146,0.0,0.0,0.0280770016864457,0.0,0.0428367170985024,0.0907426313398724,0.0489552105507924,0.067159440356675,0.0,0.003708915554489,0.0117019800020249,0.0,0.0829119597447363,0.0417309754617149,0.0,0.0251439374037827,0.0,0.120237268934384,0.080706273048621,0.0598302178283096
TCGA-VS-A94Z-01,CESC,iPCSC,1.4725916852982,0.870497669988446,0.965941084158423,0.0,0.0,0.0400663740742862,0.0286414158104951,0.0,0.0,0.32199582155684,0.0,0.0002979030698759,0.0,0.0,0.0496235790623858,0.0,0.0,0.0,0.0,0.0255105730462629,0.0356148639211251,0.0125873068465271,0.0819834210484433,0.0,0.0,0.0003465899761475,0.0,0.120658707289571,0.0,0.0,0.0,0.0,0.131830136176135,0.0754061482694402,0.075437159852464
TCGA-VS-A950-01,CESC,iPCSC,1.67741506231323,0.870464917092657,0.96597630344382,0.0,0.0,0.0,0.0205143007895954,0.0,0.0023019431698517,0.273949764040525,0.0,0.0125610766396884,0.0,0.0,0.0509815988669228,0.0,0.0,0.0268420988742969,0.0,0.0679259707578955,0.0285222762069244,0.0374851917167301,0.046700068827896,0.0,0.0,0.0091968430675061,0.0,0.110668419666747,0.0,0.0013629689811988,0.0419846022120392,0.0,0.110679860005956,0.0731279312566694,0.0851950849195573
TCGA-VS-A952-01,CESC,iPCSC,1.7005946458694,0.866236940518288,0.964530217849453,0.0015338769491671,0.0,0.0052461589196252,0.0,0.0,0.0,0.398335918215023,0.0,0.0154610528386105,0.0,0.0,0.0,0.0,0.0200306746809825,0.0,0.0336437038092148,0.0,0.129934726619927,0.0350617509087504,0.0334383412923751,0.0,0.0,0.0219829836548505,0.0051189422427273,0.0353110961197192,0.0,0.0120805368089977,0.0767274106419532,0.0,0.0583787444422516,0.032826164945032,0.0848879169107928
